CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031102460685007HA0F;10/01/2025;16;0,198;;;R
ES0031102460685007HA0F;10/01/2025;17;0,084;;;R
ES0031102460685007HA0F;10/01/2025;18;0,293;;;R
ES0031102460685007HA0F;10/01/2025;19;0,201;;;R
ES0031102460685007HA0F;10/01/2025;20;0,229;;;R
ES0031102460685007HA0F;10/01/2025;21;0,862;;;R
ES0031102460685007HA0F;10/01/2025;22;0,244;;;R
ES0031102460685007HA0F;10/01/2025;23;0,467;;;R
ES0031102460685007HA0F;10/01/2025;24;0,593;;;R
ES0031102460685007HA0F;11/01/2025;1;0,316;;;R
ES0031102460685007HA0F;11/01/2025;2;0,388;;;R
ES0031102460685007HA0F;11/01/2025;3;1,438;;;R
ES0031102460685007HA0F;11/01/2025;4;1,588;;;R
ES0031102460685007HA0F;11/01/2025;5;1,48;;;R
ES0031102460685007HA0F;11/01/2025;6;0,344;;;R
ES0031102460685007HA0F;11/01/2025;7;0,503;;;R
ES0031102460685007HA0F;11/01/2025;8;0,299;;;R
ES0031102460685007HA0F;11/01/2025;9;0,026;;;R
ES0031102460685007HA0F;11/01/2025;10;0,035;;;R
ES0031102460685007HA0F;11/01/2025;11;0,3;;;R
ES0031102460685007HA0F;11/01/2025;12;0,445;;;R
ES0031102460685007HA0F;11/01/2025;13;0,533;;;R
ES0031102460685007HA0F;11/01/2025;14;0,81;;;R
ES0031102460685007HA0F;11/01/2025;15;0,785;;;R
ES0031102460685007HA0F;11/01/2025;16;0,215;;;R
ES0031102460685007HA0F;11/01/2025;17;0,202;;;R
ES0031102460685007HA0F;11/01/2025;18;0,279;;;R
ES0031102460685007HA0F;11/01/2025;19;0,375;;;R
ES0031102460685007HA0F;11/01/2025;20;0,289;;;R
ES0031102460685007HA0F;11/01/2025;21;0,295;;;R
ES0031102460685007HA0F;11/01/2025;22;0,728;;;R
ES0031102460685007HA0F;11/01/2025;23;0,667;;;R
ES0031102460685007HA0F;11/01/2025;24;0,362;;;R
ES0031102460685007HA0F;12/01/2025;1;0,299;;;R
ES0031102460685007HA0F;12/01/2025;2;0,214;;;R
ES0031102460685007HA0F;12/01/2025;3;0,149;;;R
ES0031102460685007HA0F;12/01/2025;4;0,152;;;R
ES0031102460685007HA0F;12/01/2025;5;0,149;;;R
ES0031102460685007HA0F;12/01/2025;6;0,146;;;R
ES0031102460685007HA0F;12/01/2025;7;0,406;;;R
ES0031102460685007HA0F;12/01/2025;8;0,43;;;R
ES0031102460685007HA0F;12/01/2025;9;0,157;;;R
ES0031102460685007HA0F;12/01/2025;10;0,033;;;R
ES0031102460685007HA0F;12/01/2025;11;0,077;;;R
ES0031102460685007HA0F;12/01/2025;12;0,894;;;R
ES0031102460685007HA0F;12/01/2025;13;0,719;;;R
ES0031102460685007HA0F;12/01/2025;14;0,582;;;R
ES0031102460685007HA0F;12/01/2025;15;1,393;;;R
ES0031102460685007HA0F;12/01/2025;16;0,154;;;R
ES0031102460685007HA0F;12/01/2025;17;0,154;;;R
ES0031102460685007HA0F;12/01/2025;18;0,204;;;R
ES0031102460685007HA0F;12/01/2025;19;0,337;;;R
ES0031102460685007HA0F;12/01/2025;20;0,337;;;R
ES0031102460685007HA0F;12/01/2025;21;0,191;;;R
ES0031102460685007HA0F;12/01/2025;22;0,076;;;R
ES0031102460685007HA0F;12/01/2025;23;0,162;;;R
ES0031102460685007HA0F;12/01/2025;24;0,17;;;R
ES0031102460685007HA0F;13/01/2025;1;0,034;;;R
ES0031102460685007HA0F;13/01/2025;2;0,031;;;R
ES0031102460685007HA0F;13/01/2025;3;0,026;;;R
ES0031102460685007HA0F;13/01/2025;4;0,033;;;R
ES0031102460685007HA0F;13/01/2025;5;0,03;;;R
ES0031102460685007HA0F;13/01/2025;6;0,038;;;R
ES0031102460685007HA0F;13/01/2025;7;0,04;;;R
ES0031102460685007HA0F;13/01/2025;8;0,361;;;R
ES0031102460685007HA0F;13/01/2025;9;0,041;;;R
ES0031102460685007HA0F;13/01/2025;10;0,039;;;R
ES0031102460685007HA0F;13/01/2025;11;0,11;;;R
