CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031102460685007HA0F;11/03/2023;7;0,225;;;R
ES0031102460685007HA0F;11/03/2023;8;0,103;;;R
ES0031102460685007HA0F;11/03/2023;9;0,289;;;R
ES0031102460685007HA0F;11/03/2023;10;0,156;;;R
ES0031102460685007HA0F;11/03/2023;11;0,032;;;R
ES0031102460685007HA0F;11/03/2023;12;0,206;;;R
ES0031102460685007HA0F;11/03/2023;13;0,516;;;R
ES0031102460685007HA0F;11/03/2023;14;0,405;;;R
ES0031102460685007HA0F;11/03/2023;15;0,946;;;R
ES0031102460685007HA0F;11/03/2023;16;0,91;;;R
ES0031102460685007HA0F;11/03/2023;17;0,261;;;R
ES0031102460685007HA0F;11/03/2023;18;0,262;;;R
ES0031102460685007HA0F;11/03/2023;19;0,364;;;R
ES0031102460685007HA0F;11/03/2023;20;0,468;;;R
ES0031102460685007HA0F;11/03/2023;21;0,312;;;R
ES0031102460685007HA0F;11/03/2023;22;0,252;;;R
ES0031102460685007HA0F;11/03/2023;23;0,397;;;R
ES0031102460685007HA0F;11/03/2023;24;0,325;;;R
ES0031102460685007HA0F;12/03/2023;1;0,258;;;R
ES0031102460685007HA0F;12/03/2023;2;0,283;;;R
ES0031102460685007HA0F;12/03/2023;3;0,266;;;R
ES0031102460685007HA0F;12/03/2023;4;0,281;;;R
ES0031102460685007HA0F;12/03/2023;5;0,282;;;R
ES0031102460685007HA0F;12/03/2023;6;0,266;;;R
ES0031102460685007HA0F;12/03/2023;7;0,223;;;R
ES0031102460685007HA0F;12/03/2023;8;0,158;;;R
ES0031102460685007HA0F;12/03/2023;9;0,037;;;R
ES0031102460685007HA0F;12/03/2023;10;0,035;;;R
ES0031102460685007HA0F;12/03/2023;11;0,052;;;R
ES0031102460685007HA0F;12/03/2023;12;0,655;;;R
ES0031102460685007HA0F;12/03/2023;13;1,294;;;R
ES0031102460685007HA0F;12/03/2023;14;1,474;;;R
ES0031102460685007HA0F;12/03/2023;15;1,114;;;R
ES0031102460685007HA0F;12/03/2023;16;0,66;;;R
ES0031102460685007HA0F;12/03/2023;17;0,248;;;R
ES0031102460685007HA0F;12/03/2023;18;0,171;;;R
ES0031102460685007HA0F;12/03/2023;19;0,351;;;R
ES0031102460685007HA0F;12/03/2023;20;0,246;;;R
ES0031102460685007HA0F;12/03/2023;21;0,113;;;R
